
2023/07/05 (01:32:19) | ===> btop++ v.1.2.13
2023/07/05 (01:32:19) | DEBUG: Starting in DEBUG mode!
2023/07/05 (01:32:19) | INFO: Logger set to DEBUG
2023/07/05 (01:32:19) | DEBUG: Using locale en_US.UTF-8
2023/07/05 (01:32:19) | INFO: Running on /dev/pts/0
2023/07/05 (01:32:52) | DEBUG: Writing new config file
2023/07/05 (01:32:52) | INFO: Quitting! Runtime: 00:00:33

2023/07/07 (21:12:14) | ===> btop++ v.1.2.13
2023/07/07 (21:12:14) | INFO: Logger set to INFO
2023/07/07 (21:12:15) | INFO: Logger set to DEBUG

2023/07/15 (03:07:12) | ===> btop++ v.1.2.13
2023/07/15 (03:07:12) | DEBUG: Starting in DEBUG mode!
2023/07/15 (03:07:12) | INFO: Logger set to DEBUG
2023/07/15 (03:07:12) | DEBUG: Using locale en_US.UTF-8
2023/07/15 (03:07:12) | INFO: Running on /dev/pts/0
